type,m,n,k,transA,transB,alpha,beta,lda,ldb,ldc
s,640,384,512,0,0,1,1,640,512,640
s,1280,768,1024,0,0,1,1,1280,1024,1280
s,2560,1536,2048,0,0,1,1,2560,2048,2560
s,5120,3072,4096,0,0,1,1,5120,4096,5120
s,10240,6144,8192,0,0,1,1,10240,8192,10240
s,640,384,512,1,0,1,1,512,512,640
s,1280,768,1024,1,0,1,1,1024,1024,1280
s,2560,1536,2048,1,0,1,1,2048,2048,2560
s,5120,3072,4096,1,0,1,1,4096,4096,5120
s,10240,6144,8192,1,0,1,1,8192,8192,10240
s,640,384,512,0,1,1,1,640,384,640
s,1280,768,1024,0,1,1,1,1280,768,1280
s,2560,1536,2048,0,1,1,1,2560,1536,2560
s,5120,3072,4096,0,1,1,1,5120,3072,5120
s,10240,6144,8192,0,1,1,1,10240,6144,10240
s,640,384,512,1,1,1,1,512,384,640
s,1280,768,1024,1,1,1,1,1024,768,1280
s,2560,1536,2048,1,1,1,1,2048,1536,2560
s,5120,3072,4096,1,1,1,1,4096,3072,5120
s,10240,6144,8192,1,1,1,1,8192,6144,10240
s,256,256,256,0,0,1,1,256,256,256
s,512,512,512,0,0,1,1,512,512,512
s,1024,1024,1024,0,0,1,1,1024,1024,1024
s,2048,2048,2048,0,0,1,1,2048,2048,2048
s,4096,4096,4096,0,0,1,1,4096,4096,4096
s,8192,8192,8192,0,0,1,1,8192,8192,8192
s,256,256,256,1,0,1,1,256,256,256
s,512,512,512,1,0,1,1,512,512,512
s,1024,1024,1024,1,0,1,1,1024,1024,1024
s,2048,2048,2048,1,0,1,1,2048,2048,2048
s,4096,4096,4096,1,0,1,1,4096,4096,4096
s,8192,8192,8192,1,0,1,1,8192,8192,8192
s,256,256,256,0,1,1,1,256,256,256
s,512,512,512,0,1,1,1,512,512,512
s,1024,1024,1024,0,1,1,1,1024,1024,1024
s,2048,2048,2048,0,1,1,1,2048,2048,2048
s,4096,4096,4096,0,1,1,1,4096,4096,4096
s,8192,8192,8192,0,1,1,1,8192,8192,8192
s,256,256,256,1,1,1,1,256,256,256
s,512,512,512,1,1,1,1,512,512,512
s,1024,1024,1024,1,1,1,1,1024,1024,1024
s,2048,2048,2048,1,1,1,1,2048,2048,2048
s,4096,4096,4096,1,1,1,1,4096,4096,4096
s,8192,8192,8192,1,1,1,1,8192,8192,8192
s,768,1280,768,1,0,1.0,1.0,768,768,768
s,768,320,30522,0,0,1.0,1.0,768,30522,768
s,1024,80,30522,0,0,1.0,1.0,1024,30522,1024
s,1024,2048,30528,0,0,1.0,1.0,1024,30528,1024
s,1024,3072,1024,1,0,1.0,1.0,1024,1024,1024
s,3072,512,1024,1,0,1.0,1.0,1024,1024,3072
s,3072,1024,2048,0,1,1.0,1.0,3072,1024,3072
s,1024,2048,4096,1,0,1.0,1.0,4096,4096,1024
s,1024,30528,4096,0,1,1.0,1.0,1024,30528,1024
s,1024,30528,2048,0,1,1.0,1.0,1024,30528,1024
s,4096,4096,1024,0,0,1.0,1.0,4096,1024,4096
s,3072,3072,1024,0,0,1.0,1.0,3072,1024,3072
s,3072,2048,1024,0,0,1.0,1.0,3072,1024,3072
s,1024,4096,4096,0,1,1.0,1.0,1024,4096,1024
