type,m,n,k,transA,transB,alpha,beta,lda,ldb,ldc
s,640,384,512,0,0,1,1,640,512,640
s,1280,768,1024,0,0,1,1,1280,1024,1280
s,2560,1536,2048,0,0,1,1,2560,2048,2560
s,640,384,512,1,0,1,1,512,512,640
s,1280,768,1024,1,0,1,1,1024,1024,1280
s,2560,1536,2048,1,0,1,1,2048,2048,2560
s,640,384,512,0,1,1,1,640,384,640
s,1280,768,1024,0,1,1,1,1280,768,1280
s,2560,1536,2048,0,1,1,1,2560,1536,2560
s,640,384,512,1,1,1,1,512,384,640
s,1280,768,1024,1,1,1,1,1024,768,1280
s,2560,1536,2048,1,1,1,1,2048,1536,2560
s,256,256,256,0,0,1,1,256,256,256
s,512,512,512,0,0,1,1,512,512,512
s,1024,1024,1024,0,0,1,1,1024,1024,1024
s,2048,2048,2048,0,0,1,1,2048,2048,2048
s,256,256,256,1,0,1,1,256,256,256
s,512,512,512,1,0,1,1,512,512,512
s,1024,1024,1024,1,0,1,1,1024,1024,1024
s,2048,2048,2048,1,0,1,1,2048,2048,2048
s,256,256,256,0,1,1,1,256,256,256
s,512,512,512,0,1,1,1,512,512,512
s,1024,1024,1024,0,1,1,1,1024,1024,1024
s,2048,2048,2048,0,1,1,1,2048,2048,2048
s,256,256,256,1,1,1,1,256,256,256
s,512,512,512,1,1,1,1,512,512,512
s,1024,1024,1024,1,1,1,1,1024,1024,1024
s,2048,2048,2048,1,1,1,1,2048,2048,2048
