type,m,n,k,transA,transB,alpha,beta,lda,ldb,ldc
s,256,256,256,0,0,1,1,256,256,256
s,512,512,512,0,0,1,1,512,512,512
s,1024,1024,1024,0,0,1,1,1024,1024,1024
s,2048,2048,2048,0,0,1,1,2048,2048,2048
s,4096,4096,4096,0,0,1,1,4096,4096,4096
s,8192,8192,8192,0,0,1,1,8192,8192,8192
s,256,256,256,1,0,1,1,256,256,256
s,512,512,512,1,0,1,1,512,512,512
s,1024,1024,1024,1,0,1,1,1024,1024,1024
s,2048,2048,2048,1,0,1,1,2048,2048,2048
s,4096,4096,4096,1,0,1,1,4096,4096,4096
s,8192,8192,8192,1,0,1,1,8192,8192,8192
s,256,256,256,0,1,1,1,256,256,256
s,512,512,512,0,1,1,1,512,512,512
s,1024,1024,1024,0,1,1,1,1024,1024,1024
s,2048,2048,2048,0,1,1,1,2048,2048,2048
s,4096,4096,4096,0,1,1,1,4096,4096,4096
s,8192,8192,8192,0,1,1,1,8192,8192,8192
s,256,256,256,1,1,1,1,256,256,256
s,512,512,512,1,1,1,1,512,512,512
s,1024,1024,1024,1,1,1,1,1024,1024,1024
s,2048,2048,2048,1,1,1,1,2048,2048,2048
s,4096,4096,4096,1,1,1,1,4096,4096,4096
s,8192,8192,8192,1,1,1,1,8192,8192,8192
