type,m,n,k,transA,transB,alpha,beta,lda,ldb,ldc
h,256,256,256,0,0,1,1,256,256,256
h,512,512,512,0,0,1,1,512,512,512
h,1024,1024,1024,0,0,1,1,1024,1024,1024
h,2048,2048,2048,0,0,1,1,2048,2048,2048
h,4096,4096,4096,0,0,1,1,4096,4096,4096
h,8192,8192,8192,0,0,1,1,8192,8192,8192
h,256,256,256,1,0,1,1,256,256,256
h,512,512,512,1,0,1,1,512,512,512
h,1024,1024,1024,1,0,1,1,1024,1024,1024
h,2048,2048,2048,1,0,1,1,2048,2048,2048
h,4096,4096,4096,1,0,1,1,4096,4096,4096
h,8192,8192,8192,1,0,1,1,8192,8192,8192
h,256,256,256,0,1,1,1,256,256,256
h,512,512,512,0,1,1,1,512,512,512
h,1024,1024,1024,0,1,1,1,1024,1024,1024
h,2048,2048,2048,0,1,1,1,2048,2048,2048
h,4096,4096,4096,0,1,1,1,4096,4096,4096
h,8192,8192,8192,0,1,1,1,8192,8192,8192
h,256,256,256,1,1,1,1,256,256,256
h,512,512,512,1,1,1,1,512,512,512
h,1024,1024,1024,1,1,1,1,1024,1024,1024
h,2048,2048,2048,1,1,1,1,2048,2048,2048
h,4096,4096,4096,1,1,1,1,4096,4096,4096
h,8192,8192,8192,1,1,1,1,8192,8192,8192
