type,m,n,k,transA,transB,alpha,beta,lda,ldb,ldc
s,3025,64,363,0,0,1,0,3025,363,3025
s,729,192,1600,0,0,1,0,729,1600,729
s,12544,64,147,0,0,1,0,12544,147,12544
s,1568,128,832,0,0,1,0,1568,832,1568
s,1568,160,832,0,0,1,0,1568,832,1568
s,1568,192,832,0,0,1,0,1568,832,1568
s,1568,256,832,0,0,1,0,1568,832,1568
s,1568,32,832,0,0,1,0,1568,832,1568
s,1568,384,832,0,0,1,0,1568,832,1568
s,1568,48,832,0,0,1,0,1568,832,1568
s,196,128,800,0,0,1,0,196,800,196
s,196,48,400,0,0,1,0,196,400,196
s,196,64,600,0,0,1,0,196,600,196
s,196,64,800,0,0,1,0,196,800,196
s,49,128,1200,0,0,1,0,49,1200,49
s,49,128,800,0,0,1,0,49,800,49
s,6272,112,512,0,0,1,0,6272,512,6272
s,6272,128,512,0,0,1,0,6272,512,6272
s,6272,128,528,0,0,1,0,6272,528,6272
s,6272,144,512,0,0,1,0,6272,512,6272
s,6272,16,480,0,0,1,0,6272,480,6272
s,6272,160,512,0,0,1,0,6272,512,6272
s,6272,160,528,0,0,1,0,6272,528,6272
s,6272,192,480,0,0,1,0,6272,480,6272
s,6272,24,512,0,0,1,0,6272,512,6272
s,6272,256,528,0,0,1,0,6272,528,6272
s,6272,32,512,0,0,1,0,6272,512,6272
s,6272,32,528,0,0,1,0,6272,528,6272
s,6272,64,480,0,0,1,0,6272,480,6272
s,6272,64,512,0,0,1,0,6272,512,6272
s,6272,96,480,0,0,1,0,6272,480,6272
s,784,32,400,0,0,1,0,784,400,784
s,784,96,800,0,0,1,0,784,800,784
s,1225,64,1200,0,0,1,0,1225,1200,1225
s,2048,192,1280,0,0,1,0,2048,1280,2048
s,2048,192,2048,0,0,1,0,2048,2048,2048
s,2048,320,1280,0,0,1,0,2048,1280,2048
s,2048,320,2048,0,0,1,0,2048,2048,2048
s,2048,384,1280,0,0,1,0,2048,1280,2048
s,2048,384,2048,0,0,1,0,2048,2048,2048
s,2048,448,1280,0,0,1,0,2048,1280,2048
s,2048,448,2048,0,0,1,0,2048,2048,2048
s,21609,32,288,0,0,1,0,21609,288,21609
s,22201,32,27,0,0,1,0,22201,27,22201
s,289,128,896,0,0,1,0,289,896,289
s,289,160,1120,0,0,1,0,289,1120,289
s,289,192,1120,0,0,1,0,289,1120,289
s,289,192,1344,0,0,1,0,289,1344,289
s,289,192,896,0,0,1,0,289,896,289
s,289,384,2592,0,0,1,0,289,2592,289
s,289,96,864,0,0,1,0,289,864,289
s,5041,192,720,0,0,1,0,5041,720,5041
s,64,192,1728,0,0,1,0,64,1728,64
s,64,320,1728,0,0,1,0,64,1728,64
s,64,384,1152,0,0,1,0,64,1152,64
s,1225,192,1728,0,0,1,0,1225,1728,1225
s,2048,256,1536,0,0,1,0,2048,1536,2048
s,2048,384,1536,0,0,1,0,2048,1536,2048
s,289,224,1344,0,0,1,0,289,1344,289
s,289,224,1568,0,0,1,0,289,1568,289
s,289,256,1568,0,0,1,0,289,1568,289
s,289,256,1792,0,0,1,0,289,1792,289
s,289,256,2016,0,0,1,0,289,2016,289
s,289,320,1792,0,0,1,0,289,1792,289
s,289,384,3456,0,0,1,0,289,3456,289
s,5041,96,576,0,0,1,0,5041,576,5041
s,5329,64,448,0,0,1,0,5329,448,5329
s,5329,96,576,0,0,1,0,5329,576,5329
s,64,256,1152,0,0,1,0,64,1152,64
s,64,256,1536,0,0,1,0,64,1536,64
s,64,320,2880,0,0,1,0,64,2880,64
s,64,448,1152,0,0,1,0,64,1152,64
s,64,512,1344,0,0,1,0,64,1344,64
s,12544,1024,256,0,0,1,0,12544,256,12544
s,12544,1024,512,0,0,1,0,12544,512,12544
s,12544,256,1024,0,0,1,0,12544,1024,12544
s,12544,256,512,0,0,1,0,12544,512,12544
s,3136,2048,1024,0,0,1,0,3136,1024,3136
s,3136,2048,512,0,0,1,0,3136,512,3136
s,3136,512,1024,0,0,1,0,3136,1024,3136
s,3136,512,2048,0,0,1,0,3136,2048,3136
s,50176,128,256,0,0,1,0,50176,256,50176
s,50176,512,256,0,0,1,0,50176,256,50176
s,729,1600,192,0,0,1,0,729,192,729
s,196,400,48,0,0,1,0,196,48,196
s,196,600,64,0,0,1,0,196,64,196
s,196,800,128,0,0,1,0,196,128,196
s,196,800,64,0,0,1,0,196,64,196
s,49,1200,128,0,0,1,0,49,128,49
s,49,800,128,0,0,1,0,49,128,49
s,784,400,32,0,0,1,0,784,32,784
s,784,800,96,0,0,1,0,784,96,784
s,1225,1200,64,0,0,1,0,1225,64,1225
s,21609,288,32,0,0,1,0,21609,32,21609
s,289,1120,160,0,0,1,0,289,160,289
s,289,1120,192,0,0,1,0,289,192,289
s,289,1344,192,0,0,1,0,289,192,289
s,289,2592,384,0,0,1,0,289,384,289
s,289,864,96,0,0,1,0,289,96,289
s,289,896,128,0,0,1,0,289,128,289
s,289,896,192,0,0,1,0,289,192,289
s,5041,720,192,0,0,1,0,5041,192,5041
s,64,1152,384,0,0,1,0,64,384,64
s,64,1728,192,0,0,1,0,64,192,64
s,64,1728,320,0,0,1,0,64,320,64
s,1225,1728,192,0,0,1,0,1225,192,1225
s,289,1344,224,0,0,1,0,289,224,289
s,289,1568,224,0,0,1,0,289,224,289
s,289,1568,256,0,0,1,0,289,256,289
s,289,1792,256,0,0,1,0,289,256,289
s,289,1792,320,0,0,1,0,289,320,289
s,289,2016,256,0,0,1,0,289,256,289
s,289,3456,384,0,0,1,0,289,384,289
s,5041,576,96,0,0,1,0,5041,96,5041
s,5329,448,64,0,0,1,0,5329,64,5329
s,5329,576,96,0,0,1,0,5329,96,5329
s,64,1152,256,0,0,1,0,64,256,64
s,64,1152,448,0,0,1,0,64,448,64
s,64,1344,512,0,0,1,0,64,512,64
s,64,1536,256,0,0,1,0,64,256,64
s,64,2880,320,0,0,1,0,64,320,64
s,12544,512,1024,0,0,1,0,12544,1024,12544
s,12544,512,256,0,0,1,0,12544,256,12544
s,3136,1024,2048,0,0,1,0,3136,2048,3136
s,3136,1024,512,0,0,1,0,3136,512,3136
s,50176,256,128,0,0,1,0,50176,128,50176
s,50176,256,512,0,0,1,0,50176,512,50176
s,1600,192,729,1,0,1,1,729,729,1600
s,1728,384,169,1,0,1,1,169,169,1728
s,3456,256,169,1,0,1,1,169,169,3456
s,3456,384,169,1,0,1,1,169,169,3456
s,363,64,3025,1,0,1,1,3025,3025,363
s,1008,224,196,1,0,1,1,196,196,1008
s,1152,192,784,1,0,1,1,784,784,1152
s,1152,256,196,1,0,1,1,196,196,1152
s,1200,128,49,1,0,1,1,49,49,1200
s,1296,288,196,1,0,1,1,196,196,1296
s,1440,320,196,1,0,1,1,196,196,1440
s,1440,320,49,1,0,1,1,49,49,1440
s,147,64,12544,1,0,1,1,12544,12544,147
s,1728,384,49,1,0,1,1,49,49,1728
s,192,16,784,1,0,1,1,784,784,192
s,192,32,784,1,0,1,1,784,784,192
s,192,64,784,1,0,1,1,784,784,192
s,192,96,784,1,0,1,1,784,784,192
s,256,128,784,1,0,1,1,784,784,256
s,256,32,784,1,0,1,1,784,784,256
s,256,64,784,1,0,1,1,784,784,256
s,400,32,784,1,0,1,1,784,784,400
s,400,48,196,1,0,1,1,196,196,400
s,480,16,196,1,0,1,1,196,196,480
s,480,192,196,1,0,1,1,196,196,480
s,480,64,196,1,0,1,1,196,196,480
s,480,96,196,1,0,1,1,196,196,480
s,512,112,196,1,0,1,1,196,196,512
s,512,128,196,1,0,1,1,196,196,512
s,512,144,196,1,0,1,1,196,196,512
s,512,160,196,1,0,1,1,196,196,512
s,512,24,196,1,0,1,1,196,196,512
s,512,32,196,1,0,1,1,196,196,512
s,512,64,196,1,0,1,1,196,196,512
s,528,128,196,1,0,1,1,196,196,528
s,528,160,196,1,0,1,1,196,196,528
s,528,256,196,1,0,1,1,196,196,528
s,528,32,196,1,0,1,1,196,196,528
s,576,192,3136,1,0,1,1,3136,3136,576
s,600,64,196,1,0,1,1,196,196,600
s,64,64,3136,1,0,1,1,3136,3136,64
s,800,128,196,1,0,1,1,196,196,800
s,800,128,49,1,0,1,1,49,49,800
s,800,64,196,1,0,1,1,196,196,800
s,800,96,784,1,0,1,1,784,784,800
s,832,128,49,1,0,1,1,49,49,832
s,832,160,49,1,0,1,1,49,49,832
s,832,192,49,1,0,1,1,49,49,832
s,832,256,49,1,0,1,1,49,49,832
s,832,32,49,1,0,1,1,49,49,832
s,832,384,49,1,0,1,1,49,49,832
s,832,48,49,1,0,1,1,49,49,832
s,864,128,784,1,0,1,1,784,784,864
s,864,208,196,1,0,1,1,196,196,864
s,1120,160,289,1,0,1,1,289,289,1120
s,1120,192,289,1,0,1,1,289,289,1120
s,1152,384,64,1,0,1,1,64,64,1152
s,1200,64,1225,1,0,1,1,1225,1225,1200
s,1280,192,64,1,0,1,1,64,64,1280
s,1280,320,64,1,0,1,1,64,64,1280
s,1280,384,64,1,0,1,1,64,64,1280
s,1280,448,64,1,0,1,1,64,64,1280
s,1344,192,289,1,0,1,1,289,289,1344
s,1728,192,64,1,0,1,1,64,64,1728
