type,m,n,k,transA,transB,alpha,beta,lda,ldb,ldc
h,640,384,512,0,0,1,1,640,512,640
h,1280,768,1024,0,0,1,1,1280,1024,1280
h,2560,1536,2048,0,0,1,1,2560,2048,2560
h,5120,3072,4096,0,0,1,1,5120,4096,5120
h,10240,6144,8192,0,0,1,1,10240,8192,10240
h,640,384,512,1,0,1,1,512,512,640
h,1280,768,1024,1,0,1,1,1024,1024,1280
h,2560,1536,2048,1,0,1,1,2048,2048,2560
h,5120,3072,4096,1,0,1,1,4096,4096,5120
h,10240,6144,8192,1,0,1,1,8192,8192,10240
h,640,384,512,0,1,1,1,640,384,640
h,1280,768,1024,0,1,1,1,1280,768,1280
h,2560,1536,2048,0,1,1,1,2560,1536,2560
h,5120,3072,4096,0,1,1,1,5120,3072,5120
h,10240,6144,8192,0,1,1,1,10240,6144,10240
h,640,384,512,1,1,1,1,512,384,640
h,1280,768,1024,1,1,1,1,1024,768,1280
h,2560,1536,2048,1,1,1,1,2048,1536,2560
h,5120,3072,4096,1,1,1,1,4096,3072,5120
h,10240,6144,8192,1,1,1,1,8192,6144,10240
h,256,256,256,0,0,1,1,256,256,256
h,512,512,512,0,0,1,1,512,512,512
h,1024,1024,1024,0,0,1,1,1024,1024,1024
h,2048,2048,2048,0,0,1,1,2048,2048,2048
h,4096,4096,4096,0,0,1,1,4096,4096,4096
h,8192,8192,8192,0,0,1,1,8192,8192,8192
h,256,256,256,1,0,1,1,256,256,256
h,512,512,512,1,0,1,1,512,512,512
h,1024,1024,1024,1,0,1,1,1024,1024,1024
h,2048,2048,2048,1,0,1,1,2048,2048,2048
h,4096,4096,4096,1,0,1,1,4096,4096,4096
h,8192,8192,8192,1,0,1,1,8192,8192,8192
h,256,256,256,0,1,1,1,256,256,256
h,512,512,512,0,1,1,1,512,512,512
h,1024,1024,1024,0,1,1,1,1024,1024,1024
h,2048,2048,2048,0,1,1,1,2048,2048,2048
h,4096,4096,4096,0,1,1,1,4096,4096,4096
h,8192,8192,8192,0,1,1,1,8192,8192,8192
h,256,256,256,1,1,1,1,256,256,256
h,512,512,512,1,1,1,1,512,512,512
h,1024,1024,1024,1,1,1,1,1024,1024,1024
h,2048,2048,2048,1,1,1,1,2048,2048,2048
h,4096,4096,4096,1,1,1,1,4096,4096,4096
h,8192,8192,8192,1,1,1,1,8192,8192,8192
h,768,1280,768,1,0,1.0,1.0,768,768,768
h,768,320,30522,0,0,1.0,1.0,768,30522,768
h,1024,80,30522,0,0,1.0,1.0,1024,30522,1024
h,1024,2048,30528,0,0,1.0,1.0,1024,30528,1024
h,1024,3072,1024,1,0,1.0,1.0,1024,1024,1024
h,3072,512,1024,1,0,1.0,1.0,1024,1024,3072
h,3072,1024,2048,0,1,1.0,1.0,3072,1024,3072
h,1024,2048,4096,1,0,1.0,1.0,4096,4096,1024
h,1024,30528,4096,0,1,1.0,1.0,1024,30528,1024
h,1024,30528,2048,0,1,1.0,1.0,1024,30528,1024
h,4096,4096,1024,0,0,1.0,1.0,4096,1024,4096
h,3072,3072,1024,0,0,1.0,1.0,3072,1024,3072
h,3072,2048,1024,0,0,1.0,1.0,3072,1024,3072
h,1024,4096,4096,0,1,1.0,1.0,1024,4096,1024
