type,m,n,k,transA,transB,alpha,beta,lda,ldb,ldc
h,5120,3072,4096,0,0,1,1,5120,4096,5120
h,10240,6144,8192,0,0,1,1,10240,8192,10240
h,5120,3072,4096,1,0,1,1,4096,4096,5120
h,10240,6144,8192,1,0,1,1,8192,8192,10240
h,5120,3072,4096,0,1,1,1,5120,3072,5120
h,10240,6144,8192,0,1,1,1,10240,6144,10240
h,5120,3072,4096,1,1,1,1,4096,3072,5120
h,10240,6144,8192,1,1,1,1,8192,6144,10240
h,4096,4096,4096,0,0,1,1,4096,4096,4096
h,8192,8192,8192,0,0,1,1,8192,8192,8192
h,4096,4096,4096,1,0,1,1,4096,4096,4096
h,8192,8192,8192,1,0,1,1,8192,8192,8192
h,4096,4096,4096,0,1,1,1,4096,4096,4096
h,8192,8192,8192,0,1,1,1,8192,8192,8192
h,4096,4096,4096,1,1,1,1,4096,4096,4096
h,8192,8192,8192,1,1,1,1,8192,8192,8192
